generation,name,visual rate(kids average),visual rate(all average),Copyright Sales(million),Toys Sales(million),Fall Movies Sales(million),Initial DVD and BD BOX1 Sales
1,the first,17.8,7.29,7.55,101,8.5,1956
2,mh,17.2,7.87,12.33,123,5.8,1391
3,ss,13.2,6.38,7.34,60,3,1893
4,five,16.6,6.58,8.97,96,8,1130
5,go,13.2,5.6,10.03,101,7.8,976
6,fresh,15,6.46,11.01,115,7.9,1150
7,hc,14.6,6.5,12.68,130,9.3,1757
8,sweet,13.1,5.2,11.09,103,8.9,1061
9,smile,12.4,5.3,10.58,108,9.1,2263
10,dokidoki,9.4,4.88,9.91,96,9.5,885
11,happiness,9.1,4.62,8.52,78,5.3,588
12,princess,9.9,4.05,6.31,64,5.6,1063
13,magical,8,3.2,6.35,71,6.7,963
14,kirakira,7.9,3.2,7.12,80,8,587
